,pro_link,title,status,percentage_fund,funded,target,end_date,backers,subcategory,thumbnail_type,number_rewards,min_price,max_price,num_news,num_comments,num_contributions,creater_link,language,short_des
0,https://www.kisskissbankbank.com/en/projects/test-failed,Test-Failed,Failed,0,€0,Out of €100,05/30/2018,0,,png,0,-1.0,-1.0,0,0,0,https://www.kisskissbankbank.com/en/users/kisskissbankbank-noel,fr,test-failed
1,https://www.kisskissbankbank.com/en/projects/365-plus-un,365 PLUS UN: Sustainable Fashion Accessories made by Artist,Failed,18,€550,"Out of €3,000",12/05/2019,11,,jpg,11,5.0,3500.0,3,1,12,https://www.kisskissbankbank.com/en/users/kamilla-sani-gabdullina,en,Join the 365 PLUS UN adventure
2,https://www.kisskissbankbank.com/en/projects/juan-francisco-casas-a-utopic-bootleg-arttitude,Juan Francisco Casas - (A)utopic (BOOTleg ARTtitude),Failed,32,€960,"Out of €3,000",06/20/2014,26,,jpg,5,5.0,60.0,0,1,26,https://www.kisskissbankbank.com/en/users/frederic-claquin,en,"Discover exclusively the new title of the ""BOOTleg"" collection from ARTtitude : (A)utopic by Juan Francisco Casas."
3,https://www.kisskissbankbank.com/en/projects/peace-project,Peace Project,Failed,0,€0,"Out of €3,000",12/14/2015,0,,png,6,5.0,100.0,0,0,0,https://www.kisskissbankbank.com/en/users/paxproject,en,"Every voice needs to be heard  !
Every life needs to be respected !
Everyone deserves a chance !
PEACE PROJECT - STORIES WE NEED TO HEAR!"
4,https://www.kisskissbankbank.com/en/projects/l-ile-invisible-fukushima/tabs/comments,L'ÎLE INVISIBLE *Fukushima  見えない島,Successful,120,"€6,043","Out of €5,000",04/10/2017,45,,jpg,0,-1.0,-1.0,2,11,45,https://www.kisskissbankbank.com/en/users/pika-pika-films,en,"A documentary film, in search of the spirit of the zone, a story of nature, failed technology and people."
5,https://www.kisskissbankbank.com/en/projects/l-ile-invisible-fukushima/tabs/description,L'ÎLE INVISIBLE *Fukushima  見えない島,Successful,120,"€6,043","Out of €5,000",04/10/2017,45,,jpg,11,15.0,5000.0,2,11,45,https://www.kisskissbankbank.com/en/users/pika-pika-films,en,"A documentary film, in search of the spirit of the zone, a story of nature, failed technology and people."
6,https://www.kisskissbankbank.com/en/projects/premier-long-metrage-angele-et-mes-demons,First Feature Film: Angèle Et Mes Démons ,Successful,100,"€4,009","Out of €4,000",10/02/2020,24,Indie,png,3,10.0,100.0,0,10,29,https://www.kisskissbankbank.com/en/users/lucas-beccaro,en,A Feature Made By The Youth For The Youth
7,https://www.kisskissbankbank.com/en/projects/kluster-un-jeu-d-aimants/tabs/faqs,"Kluster, a magnetik game!",Successful,1006,"€30,192","Out of €3,000",04/24/2019,"1,081",,png,0,-1.0,-1.0,21,213,1096,https://www.kisskissbankbank.com/en/users/borderline-editions,en,"An irresistible magnetic game for 1 to 4 players, short, fun, really simple, accessible to everyone and still full of strategy!"
8,https://www.kisskissbankbank.com/en/projects/excroissance,Excroissance,Failed,33,€835,"Out of €2,500",01/28/2015,26,,jpg,7,5.0,300.0,0,10,26,https://www.kisskissbankbank.com/en/users/leo-pacquelet,en,A film about a man who is disabled and tries to make a use of his deficiency to redefine his environment.
9,https://www.kisskissbankbank.com/en/projects/writing-residency-to-write-the-core-of-the-book-about-my-mother,Writing residency to write a book about my mother,Successful,120,"€1,800","Out of €1,500",11/20/2020,7,"Feminism,Change your life",png,0,-1.0,-1.0,0,4,9,https://www.kisskissbankbank.com/en/users/nathalie-nana,en,Help me to become a writer
